epoch,train_loss,val_loss,error_average
3.0,0.031064872685887267,0.02140499840129112,39262.57473875338
0.0,0.027745023126398247,0.02107330960370293,40229.86710405172
1.0,0.025962538309889614,0.01920512763774865,37928.682788094484
0.0,0.02352557292374343,0.023614807695046702,42122.781237781935
1.0,0.02293234503230044,0.01900013243250748,37688.67838627367
2.0,0.02227487527215977,0.01881982277262439,36867.15546272584
3.0,0.02152499109315624,0.017996645525815452,36419.647387159406
0.0,0.020080346408408514,0.018093367402739497,37057.65808473772
1.0,0.019310865895943413,0.018140044279291702,36665.28161448329
2.0,0.018969138316300094,0.01675113801233672,35531.92182930548
3.0,0.018638649226778017,0.017467917922056868,35736.35205515285
4.0,0.017939859809844326,0.016141055802312513,34204.79588989002
5.0,0.017147978141567412,0.017220771636866583,35682.70367695324
6.0,0.01697976349465958,0.020909625168400933,38896.78182886608
